title,publisher,author,year
"Machine Learning: 2 Books in 1: Machine Learning for Beginners, Machine Learning Mathematics. An Introduction Guide to Understand Data Science Through the Business Application",nan,"Samuel Hack [Hack, Samuel]",2019
Beginning Data Science with Python and Jupyter,Packt Publishing,Alex Galea,2018
"Python for Data Analysis: The Ultimate Beginner's Guide to Learn programming in Python for Data Science with Pandas and NumPy, Master Statistical Analysis, and Visualization",nan,"Foster, Matt",2020
"Introduction to Data Science.  A Python Approach to Concepts, Techniques and Applications",Springer,"Laura Igual, Santi Segu",2017
"Data Science for Marketing Analytics: A practical guide to forming a killer marketing strategy through data analysis with Python, 2nd Edition",Packt Publishing,"Mirza Rahim Baig, Gururajan Govindan, Vishwesh Ravi Shrimali",2021
Algorithms for Data Science,Springer,"Brian Steele, John Chandler, Swarna Reddy",2017
"Learn RStudio IDE: Quick, Effective, and Productive Data Science",Apress,Matthew Campbell,2019
Hands-On Data Science with Anaconda,Packt Publishing,"Yuxing Yan, James Yan",2018
Practical Data Science with SAP: Machine Learning Techniques for Enterprise Data,O’Reilly Media,"Greg Foss, Paul Modderman",2019
Getting Started with Data Science: Making Sense of Data with Analytics,IBM Press,Murtaza Haider,2015
Practical DataOps: Delivering Agile Data Science At Scale,Apress,Harvinder Atwal,2020
Python for Data Analysis: Master Deep Learning with Python Language and Become Great at Programming Python for Beginners with Hands-on Project (Data Science),nan,"Scratch, Jason",2020
Data Science and Machine Learning Interview Questions Using Python: A Complete Question Bank to Crack Your Interview (English Edition),nan,Vishwanathan Narayanan,english
Data Science for Financial Econometrics,Springer,"Nguyen Ngoc Thach, Vladik Kreinovich, Nguyen Duc Trung",2021
Modern Data Mining Algorithms in C++ and CUDA C: Recent Developments in Feature Extraction and Selection Algorithms for Data Science,Apress,Timothy Masters,2020
"Programming Skills for Data Science: Start Writing Code to Wrangle, Analyze, and Visualize Data with R, First Edition",Addison-Wesley Professional,Michael Freeman & Joel Ross [Michael Freeman],2018
"Data Science For Dummies, 2nd Edition",John Wiley & Sons,Lillian Pierson,2017
Essential Statistics for Non-STEM Data Analysts: Get to Grips with the Statistics and Math Knowledge Needed to Enter the World of Data Science with Python,Packt,Rongpeng Li,2020
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",Cambridge University Press,"Steven L. Brunton, J. Nathan Kutz",2019
Charting the Next Pandemic: Modeling Infectious Disease Spreading in the Data Science Age,Springer,"Ana Pastore y Piontti, Nicola Perra, Luca Rossi, Nicole Samay, Alessandro Vespignani",2018
R Programming for Data Science,[Leanpub],Roger D. Peng,2015
Learning from Data Made Easy with R: A Gentle Introduction for Data Science,nan,Lewis N.D.,english
"Deep Learning in Python: Master Data Science and Machine Learning with Modern Neural Networks written in Python, Theano, and TensorFlow",LazyProgrammer,LazyProgrammer,2016
"Python for Data Analysis: A Basic Programming Crash Course to Learn Python Data Science Essential Tools, Pandas, and Numpy with Questions and Answer from Beginners to Advanced",nan,Oscar Scratch,2019
Python Programming for Beginners: Basic Language from Absolute Beginners to Intermediate. Learn Easily and Fast Data Science and Web Development in a Simple and Practical Way Step-by-Step,Independently published,MARK CODING,2020
Data science par la pratique,Eyrolles,Joël Grus,2017
Be the Outlier : How to Ace Data Science Interviews,New Degree Press,Shrilata Murthy,2020
Julia Quick Syntax Reference: A Pocket Guide for Data Science Programming,Apress,Antonello Lobianco,2019
Statistical Inference via Data Science: A ModernDive into R and the Tidyverse,CRC Press,"Chester Ismay, Albert Y. Kim",2019
Quantitative Data Analysis: Doing Social Research to Test Ideas (Research Methods for the Social Sciences),Jossey-Bass,Donald J. Treiman,2009
Introduction to Probability for Data Science,Michigan Publishing Services,"Chan, Stanley",2021
Geographical Data Science and Spatial Data Analysis: An Introduction in R (Spatial Analytics and GIS) 1st Edition,nan,Lex Comber,2021
"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines",O'Reilly Media,"Chris Fregly, Antje Barth",2021
Data Science in Practice,Springer International Publishing,"Alan Said, Vicenç Torra",2019
"Business intelligence, analytics, and data science a managerial perspective",Pearson,"Delen, Dursun, Sharda, Ramesh, Turban, Efraim",2018
"Beginning Mathematica and Wolfram for Data Science: Applications in Data Analysis, Machine Learning, and Neural Networks",Apress,Jalil Villalobos Alva,2021
Machine Learning and Data Science: An Introduction to Statistical Learning Methods with R,Technics Publications,Daniel D. Gutierrez,2015
Practical Web Scraping for Data Science: Best Practices and Examples with Python,Apress,"Seppe vanden Broucke, Bart Baesens",2018
A Tour Of Data Science: Learn R And Python In Parallel,CRC Press/Taylor & Francis Group,Nailong Zhang,2021
Mathematical Problems in Data Science: Theoretical and Practical Methods,Springer,"Li M. Chen, Zhixun Su, Bo Jiang",2016
Statistics for Data Science,Packt Publishing,James D. Miller,2017
Business Analytics: Data Science for Business Problems,Springer,Walter R. Paczkowski,2022
"Python Data Science: Learn Python in a Week and Master It. An Hands-On Introduction to Big Data Analysis and Mining, a Project-Based Guide with Practical Exercises (7 Days Crash Course, Book 3)",nan,"Academy, Computer Programming",2020
Data Analysis and Presentation Skills. An Introduction for the Life and Medical Sciences,Wiley,Jackie Willis,2004
"Python Deep Learning: 7 Days To Master Machine Learning, Data Science and Artificial Intelligence: Data Science Degree",UNKNOWN,"Dwain Debrot [Debrot, Dwain]",2021
"Practical Data Science Cookbook: Data pre-processing, analysis and visualization using R and Python",Packt Publishing,"Prabhanjan Tattar, Tony Ojeda, Sean Patrick Murphy, Benjamin Bengfort, Abhijit Dasgupta",2017
Fast Python for Data Science (MEAP V8),Manning Publications,Tiago Rodrigues Antao,2022
"Python Programming: 4 Books in 1 - The Complete Crash Course for Beginners to Mastering Python with Practical Applications to Data Analysis & Analytics, Machine Learning and Data Science Projects",nan,"Park, Andrew",2020
"Learning to Love Data Science: Explorations of Emerging Technologies and Platforms for Predictive Analytics, Machine Learning, Digital Manufacturing and Supply Chain Optimization",O'Reilly Media,Mike Barlow,2015
Data Science and Machine Learning: Mathematical and Statistical Methods,CRC Press,"Dirk P. Kroese, Zdravko I. Botev, Thomas Taimre, Radislav Vaisman",2020
Master Data Science and Data Analysis With Pandas,nan,Arun Kumar,2020
Data Science: Concepts and Practice,Elsevier,"Vijay Kotu, Bala Deshpande",2018
"Assessing the Accuracy of Remotely Sensed Data: Principles and Practices, Second Edition (Mapping Science)",CRC Press,"Russell G. Congalton, Kass Green",2008
Data Science Fundamentals and Practical Approaches: Understand Why Data Science Is the Next,BPB Publications,"Dr. Gypsy Nandi, Dr. Rupam Kumar Sharma",2020
Data Science for  Business  Professionals,BPB Publications,Probyto Data Science and  Consulting Pvt. Ltd.,2020
Data Science Projects with Python,Packt Publishing,Stephen Klosterman,2019
Modern Data Science with R,CRC,"Benjamin Baumer, Daniel Kaplan, Nicholas Horton",2017
Analytical Skills for AI and Data Science: Building Skills for an AI-Driven Enterprise,O'Reilly Media,Daniel Vaughan,2020
Essential Math for Data Science (Fifth Early Release),"O'Reilly Media, Inc.",Thomas Nield,2022
"Python Machine Learning for Beginners: Learning from scratch NumPy, Pandas, Matplotlib, Seaborn, Scikitlearn, and TensorFlow for Machine Learning and Data Science",AI Publishing LLC,"Publishing, AI",2020
Data Science for Beginners: Comprehensive Guide to Most Important Basics in Data Science,nan,"Campbell, Alex",2021
Python Data Science Handbook:  Essential Tools for Working with Data,O’Reilly Media,Jake VanderPlas,2016
Clean Data - Data Science Strategies for Tackling Dirty Data,Packt Publishing,Megan Squire,2015
